admin_reg;id (adminbounds_data_total.csv)
Кировский;0
Октябрьский;1
Октябрьский;2
Октябрьский;3
Куйбышевский;4
Куйбышевский;5
Кировский;6
Октябрьский;7
Октябрьский;8
Октябрьский;9
Кировский;10
Октябрьский;11
Кировский;12
Кировский;13
Свердловский;14
Октябрьский;15
Кировский;16
Кировский;17
Свердловский;18
Кировский;19
Кировский;20
Кировский;21
Октябрьский;22
Кировский;23
Кировский;24
Октябрьский;25
Октябрьский;26
Кировский;27
Октябрьский;28
Октябрьский;29
Октябрьский;30
Свердловский;31
Свердловский;32
Октябрьский;33
Октябрьский;34
Октябрьский;35
Октябрьский;36
Октябрьский;37
Октябрьский;38
за городом;39
Куйбышевский;40
Кировский;41
Кировский;42
Куйбышевский;43
Кировский;44
Кировский;45
Куйбышевский;46
Куйбышевский;47
Кировский;48
Октябрьский;49
Куйбышевский;50
Кировский;51
Кировский;52
Куйбышевский;53
Куйбышевский;54
Кировский;55
Свердловский;56
Куйбышевский;57
Кировский;58
Октябрьский;59
Кировский;60
Свердловский;61
Октябрьский;62
за городом;63
Куйбышевский;64
Октябрьский;65
Октябрьский;66
Куйбышевский;67
Кировский;68
Октябрьский;69
Октябрьский;70
Свердловский;71
Октябрьский;72
Свердловский;73
Кировский;74
Ленинский;75
Кировский;76
Кировский;77
Кировский;78
Кировский;79
Октябрьский;80
Кировский;81
Кировский;82
Свердловский;83
Кировский;84
Свердловский;85
Кировский;86
Кировский;87
Кировский;88
Кировский;89
Кировский;90
Кировский;91
Кировский;92
Октябрьский;93
Кировский;94
Октябрьский;95
Свердловский;96
Октябрьский;97
Куйбышевский;98
Куйбышевский;99
Октябрьский;100
Свердловский;101
Кировский;102
Свердловский;103
Куйбышевский;104
Кировский;105
Октябрьский;106
Кировский;107
Свердловский;108
Октябрьский;109
Кировский;110
Кировский;111
Октябрьский;112
Кировский;113
Кировский;114
Свердловский;115
Ленинский;116
Свердловский;117
Октябрьский;118
Свердловский;119
Кировский;120
Октябрьский;121
Кировский;122
Свердловский;123
Кировский;124
Куйбышевский;125
Ленинский;126
Кировский;127
Октябрьский;128
Ленинский;129
Свердловский;130
Ленинский;131
Свердловский;132
Ленинский;133
Свердловский;134
Свердловский;135
Свердловский;136
Кировский;137
Свердловский;138
Кировский;139
Свердловский;140
Кировский;141
Свердловский;142
Октябрьский;143
Октябрьский;144
Октябрьский;145
Кировский;146
Кировский;147
Октябрьский;148
Октябрьский;149
Кировский;150
Куйбышевский;151
Кировский;152
Кировский;153
Кировский;154
Куйбышевский;155
Куйбышевский;156
Куйбышевский;157
Куйбышевский;158
Свердловский;159
Куйбышевский;160
Кировский;161
Куйбышевский;162
Кировский;163
Кировский;164
Кировский;165
Кировский;166
Октябрьский;167
Кировский;168
Куйбышевский;169
Кировский;170
Свердловский;171
