id;exp_pht;exp_rat;exp_rev;Популярность
0;0,489757914;0,86;0,018383167;1,368141082
1;0,223463687;0,8;0,071760797;1,095224484
2;0,063314711;0,82;0,028128461;0,911443172
3;0,050279330;0,9;0,042524917;0,992804247
4;0,239292365;0,88;0,029014396;1,148306761
5;0,002793296;0;0,000221484;0,003014780
6;0,118249534;0,76;0,115614618;0,993864152
7;0,032588454;0,94;0,005980066;0,978568521
8;0,148975791;0,9;0,106090808;1,155066600
9;0,100558659;0,88;0,018383167;0,998941826
10;0,141527002;0,9;0,086821705;1,128348707
11;0,227188082;0,84;0,105647841;1,172835922
12;0,570763501;0,92;0,311627907;1,802391408
13;0,091247672;0,96;0,073532669;1,124780341
14;0,232774674;0,86;0,304983389;1,397758063
15;0,074487896;0,9;0,047176080;1,021663975
16;0,092178771;0,9;0,036323367;1,028502138
17;0,598696462;0,86;0,122923588;1,581620050
18;0,676908752;0,82;0,142857143;1,639765895
19;0,365921788;0,82;0,185825028;1,371746815
20;0,034450652;0,96;0,046290144;1,040740796
21;0,168528864;0,84;0,122259136;1,130788000
22;0,191806331;0,82;0,241860465;1,253666797
23;0,272811918;0,8;0,166998893;1,239810811
24;0,174115456;0,84;0,034994463;1,049109919
25;0,354748603;0,84;0,145071982;1,339820586
26;0,206703911;0,8;0,172535991;1,179239902
27;0,308193669;0,88;0,176744186;1,364937855
28;0,010242086;0,84;0,034772979;0,885015065
29;0,038175047;0,86;0,062458472;0,960633518
30;0,047486034;0,9;0,042303433;0,989789467
31;0,324022346;0,82;0,141749723;1,285772070
32;0,442271881;0,8;0,275304540;1,517576421
33;0,101489758;0,84;0,035215947;0,976705705
34;0,275605214;0,86;0,096788483;1,232393697
35;0,035381750;0,8;0,010409745;0,845791496
36;0,146182495;0,88;0,086157254;1,112339749
37;0,079143389;0,88;0,187153931;1,146297321
38;0,040968343;0,88;0,086157254;1,007125596
39;0,067970205;0,9;0,022591362;0,990561567
40;0,558659218;0,88;0,066445183;1,505104401
41;0,232774674;0,9;0,116722038;1,249496712
42;0,198324022;0,92;0,192912514;1,311236536
43;0,770018622;0,92;0,131118494;1,821137116
44;0,216945996;0,92;0,016389812;1,153335808
45;0,303538175;0,84;0,046290144;1,189828319
46;0,259776536;0,94;0,176301218;1,376077754
47;0,221601490;0,94;0,248283499;1,409884989
48;0,607076350;0,9;0,052491694;1,559568044
49;0,948789572;0,84;0,129125138;1,917914710
50;0;0;0;0
51;0,136871508;0,94;0,022591362;1,099462871
52;0,229981378;0,88;0,021262458;1,131243836
53;0,160148976;0,94;0,018826135;1,118975111
54;0,078212291;0,86;0,003986711;0,942199001
55;0,050279330;0,92;0,003322259;0,973601589
56;0,116387337;0,9;0,023920266;1,040307603
57;0,083798883;0,9;0,014617940;0,998416823
58;0,012104283;0,84;0,005315615;0,857419898
59;0,188081937;0,94;0,056478405;1,184560342
60;0,215083799;0,84;0,025027685;1,080111484
61;0,088454376;0,86;0,024584718;0,973039094
62;0,241154562;0,88;0,060465116;1,181619679
63;0,485102421;1;0,127574751;1,612677172
65;0,067039106;0,86;0,007751938;0,934791044
66;0,021415270;0,82;0,003100775;0,844516045
67;0,050279330;0,94;0,007530454;0,997809784
68;0,053072626;0,66;0,014617940;0,727690566
69;0,052141527;0,9;0,009745293;0,961886820
70;0,010242086;0,82;0,001550388;0,831792473
71;0,333333333;0,9;0,130454042;1,363787375
72;0,106145251;0,74;0,005315615;0,851460866
73;0,000931099;0,8;0,001328904;0,802260002
74;0,007448790;0,88;0,001550388;0,888999177
75;0,019553073;0,8;0,004651163;0,824204235
76;0,001862197;0,78;0;0,781862197
77;0,006517691;0,8;0,001771872;0,808289562
78;0,129422719;0,86;0,008416390;0,997839109
79;0,007448790;0,74;0,000442968;0,747891757
80;0,005586592;0,78;0,000442968;0,786029560
81;0,002793296;0,82;0,003543743;0,826337039
82;0,018621974;0,84;0,003322259;0,861944233
83;0,013035382;0,6;0,003543743;0,616579125
84;0,010242086;0,78;0;0,790242086
85;0,006517691;0,74;0,000442968;0,746960659
86;0,037243948;0,7;0,000885936;0,738129884
87;0,003724395;0,86;0,000442968;0,864167363
88;0,005586592;0;0;0,005586592
89;0,000931099;0,54;0;0,540931099
90;0;0,78;0,000221484;0,780221484
91;0,000931099;0,48;0;0,480931099
92;0,345437616;0,92;0,189811739;1,455249355
93;0,283054004;0,94;0,168327796;1,391381800
94;0,620111732;0,9;0,080620155;1,600731887
95;0,178770950;0,92;0,100996678;1,199767627
96;0,174115456;0,94;0,104097453;1,218212909
97;0,011173184;0,94;0,005094131;0,956267315
98;0,110800745;0,92;0,018826135;1,049626880
99;0,016759777;0,9;0,003986711;0,920746487
100;0,004655493;0,78;0,000221484;0,784876977
101;0,014897579;0,84;0,005094131;0,859991710
102;0,001862197;0;0;0,001862197
103;0,001862197;0,84;0,001771872;0,843634069
104;0,004655493;0,88;0,000664452;0,885319945
105;0,001862197;0;0;0,001862197
106;0,000931099;0,66;0,002214839;0,663145938
107;0,008379888;0,86;0,005980066;0,874359955
108;0,229050279;0,9;0,172093023;1,301143303
109;0,024208566;0,84;0,133554817;0,997763383
110;0,342644320;0,92;0,029457364;1,292101685
111;0,049348231;0,88;0,114728682;1,044076913
112;0,312849162;0,9;0,160797342;1,373646504
113;0,159217877;0,86;0,042967885;1,062185762
114;0,063314711;0,96;0,037430786;1,060745498
115;0,536312849;0,84;0,104318937;1,480631786
116;0,054003724;0,86;0,055370986;0,969374710
117;0,976722533;0,92;0,039202658;1,935925190
118;0,018621974;0,86;0,027464009;0,906085983
119;0,059590317;0,86;0,018383167;0,937973484
120;0,010242086;0,9;0,003322259;0,913564345
121;0,001862197;0,86;0,003986711;0,865848908
122;0,004655493;0,82;0,001328904;0,825984397
123;0,211359404;0,94;0,075968992;1,227328396
124;0,002793296;0,84;0,002879291;0,845672587
125;0,027001862;0,92;0,000885936;0,947887798
126;0,013966480;0,62;0,002436323;0,636402804
127;0,032588454;0,66;0,001550388;0,694138842
128;0,006517691;0,84;0,002436323;0,848954014
