address;agr_type;id (main_data.csv);name;source;type;url;lat;lon;photos_number;rating;reviews_number
ул. Свердлова, 19, Иркутск, этаж 1;питание;0;Славянка;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/slavyanka/50447651415/;52,2843;104,279364;526;4,3;83
ул. Седова, 6, Иркутск;питание;1;ТРУ кост;yandex&google;Ресторан;https://yandex.ru/maps/org/tru_kost/71360734481/;52,275273;104,287581;240;4;324
Дальневосточная ул., 158/2, Иркутск, этаж 1;питание;2;Улус;yandex;Ресторан;https://yandex.ru/maps/org/ulus/87918137477/;52,253615;104,32078;68;4,1;127
ул. Седова, 29, Иркутск;питание;3;Broadway;yandex&2gis;Ресторан;https://yandex.ru/maps/org/broadway/1173187944/;52,27438;104,290924;54;4,5;192
ул. Петрова, 64, Иркутск;питание;4;Барселона;yandex;Караоке-клуб;https://yandex.ru/maps/org/barselona/1253515640/;52,312743;104,300239;257;4,4;131
Братская ул., 2/1, Иркутск, этаж 2;магазины;5;Аквариумы;yandex;Магазин аквариумов;https://yandex.ru/maps/org/akvariumy/1705760164/;52,290407;104,35698;3;0;1
Пролетарская ул., 13, Иркутск;культура;6;Иркутский государственный цирк;yandex&google&2gis;Цирк;https://yandex.ru/maps/org/irkutskiy_gosudarstvenny_tsirk/1039975965/;52,287623;104,287202;127;3,8;522
Советская ул., 176Б/1, Иркутск, этаж 2;развлечения;7;Квест Внутри;yandex;Квесты;https://yandex.ru/maps/org/kvest_vnutri/210706211919/;52,279667;104,340691;35;4,7;27
Верхняя наб., 145/16, Иркутск;питание;8;Том Ям;yandex;Кафе;https://yandex.ru/maps/org/tom_yam/78387272417/;52,256568;104,310826;160;4,5;479
Дальневосточная ул., 110, Иркутск, этаж 1;питание;9;Франческо;yandex&2gis;Ресторан;https://yandex.ru/maps/org/franchesko/66205333884/;52,254866;104,314554;108;4,4;83
Рабочая ул., 2А/4, ИркутскТЦ Премьер, этаж -1;питание;10;Пельмения;yandex&2gis;Ресторан;https://yandex.ru/maps/org/pelmeniya/66148072986/;52,289307;104,282745;152;4,5;392
ул. Седова, 30, ИркутскРайон Октябрьский, этаж 2;питание;11;Миша;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/misha/38204538002/;52,273974;104,289931;244;4,2;477
Российская ул., 17Б, Иркутск;питание;12;Rio-grande;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/rio_grande/1020018472/;52,286527;104,276495;613;4,6;1407
ул. Свердлова, 5/2, Иркутск;питание;13;Ель и Ребра;yandex;Ресторан;https://yandex.ru/maps/org/yel_i_rebra/52312581919/;52,28287;104,276288;98;4,8;332
ул. Безбокова, 10А, Иркутск;питание;14;Мираж;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/mirazh/66988432911/;52,230809;104,314751;250;4,3;1377
